Age,Support Calls,Payment Delay,Total Spend,Last Interaction,Churn,Female,Male,Age Group,Interaction Frequency
23.0,0.0,19.0,846.18,18.0,0.0,0,1,0,2
19.0,1.0,26.0,149.04,10.0,1.0,0,1,0,1
40.0,3.0,19.0,266.0,9.0,1.0,0,1,2,1
44.0,2.0,27.0,662.0,16.0,1.0,1,0,2,2
49.0,9.0,9.0,857.0,8.0,1.0,0,1,2,1
25.0,2.0,13.0,590.48,8.0,0.0,1,0,1,1
34.0,4.0,15.0,640.0,3.0,1.0,1,0,1,0
51.0,0.0,20.0,605.0,8.0,1.0,1,0,2,1
61.0,4.0,19.0,846.0,1.0,0.0,1,0,3,0
34.0,8.0,8.0,307.38,2.0,1.0,0,1,1,0
38.0,4.0,27.0,392.0,20.0,0.0,0,1,1,2
39.0,3.0,1.0,788.55,7.0,0.0,1,0,1,0
24.0,10.0,27.0,546.0,13.0,1.0,1,0,0,1
43.0,2.0,15.0,801.76,1.0,0.0,0,1,2,0
57.0,0.0,4.0,173.0,3.0,1.0,1,0,2,0
22.0,1.0,25.0,828.57,1.0,1.0,1,0,0,0
33.0,10.0,14.0,103.0,24.0,1.0,1,0,1,2
47.0,9.0,20.0,322.0,6.0,1.0,0,1,2,0
47.0,6.0,1.0,305.0,27.0,1.0,0,1,2,2
50.0,6.0,28.0,195.0,16.0,1.0,0,1,2,2
41.0,0.0,0.0,517.0,20.0,0.0,1,0,2,2
48.0,2.0,2.0,300.0,10.0,0.0,0,1,2,1
49.0,3.0,9.0,590.72,10.0,0.0,1,0,2,1
32.0,2.0,0.0,687.0,1.0,0.0,1,0,1,0
41.0,8.0,24.0,279.0,30.0,1.0,1,0,2,2
45.0,4.0,18.0,730.69,24.0,0.0,0,1,2,2
37.0,3.0,0.0,771.18,6.0,0.0,1,0,1,0
31.0,2.0,17.0,895.86,29.0,0.0,0,1,1,2
50.0,3.0,8.0,914.84,1.0,0.0,0,1,2,0
40.0,2.0,11.0,934.63,23.0,0.0,0,1,2,2
41.0,3.0,17.0,948.77,11.0,0.0,1,0,2,1
20.0,9.0,16.0,766.0,7.0,1.0,1,0,0,0
34.0,3.0,0.0,785.6,11.0,0.0,1,0,1,1
55.0,10.0,18.0,114.0,21.0,1.0,1,0,2,2
32.0,1.0,22.0,557.0,25.0,1.0,1,0,1,2
53.0,4.0,19.0,997.52,1.0,1.0,0,1,2,0
25.0,3.0,19.0,369.0,25.0,0.0,1,0,1,2
26.0,3.0,12.0,625.0,27.0,1.0,1,0,1,2
58.0,7.0,25.0,225.0,6.0,1.0,0,1,2,0
50.0,5.0,19.0,824.61,13.0,0.0,1,0,2,1
34.0,2.0,4.0,617.86,6.0,0.0,1,0,1,0
48.0,9.0,25.0,281.0,12.0,1.0,1,0,2,1
46.0,0.0,3.0,867.88,20.0,0.0,0,1,2,2
21.0,7.0,0.0,202.2,10.0,1.0,1,0,0,1
20.0,3.0,21.0,466.0,20.0,1.0,1,0,0,2
23.0,2.0,12.0,150.25,11.0,1.0,1,0,0,1
29.0,3.0,29.0,734.0,14.0,1.0,0,1,1,1
43.0,0.0,29.0,707.0,6.0,0.0,1,0,2,0
46.0,4.0,8.0,831.88,5.0,0.0,0,1,2,0
31.0,0.0,26.0,854.0,30.0,1.0,1,0,1,2
57.0,9.0,18.0,963.0,18.0,1.0,0,1,2,2
29.0,1.0,29.0,383.0,15.0,1.0,0,1,1,1
59.0,5.0,4.0,920.0,22.0,1.0,1,0,2,2
54.0,10.0,11.0,473.0,2.0,1.0,1,0,2,0
44.0,1.0,15.0,262.0,24.0,1.0,1,0,2,2
55.0,9.0,16.0,547.0,21.0,1.0,0,1,2,2
47.0,8.0,16.0,412.0,20.0,1.0,0,1,2,2
42.0,10.0,1.0,691.0,28.0,1.0,1,0,2,2
50.0,10.0,10.0,596.0,29.0,1.0,0,1,2,2
19.0,0.0,7.0,585.4,3.0,0.0,1,0,0,0
44.0,3.0,0.0,941.74,5.0,0.0,0,1,2,0
40.0,1.0,5.0,727.02,12.0,0.0,0,1,2,1
35.0,0.0,6.0,754.52,22.0,1.0,1,0,1,2
59.0,4.0,29.0,252.0,4.0,1.0,1,0,2,0
28.0,1.0,23.0,424.0,25.0,0.0,0,1,1,2
56.0,3.0,1.0,799.0,15.0,1.0,0,1,2,1
49.0,0.0,20.0,688.11,5.0,0.0,1,0,2,0
37.0,0.0,2.0,510.16,27.0,0.0,0,1,1,2
42.0,9.0,29.0,869.0,22.0,1.0,1,0,2,2
32.0,3.0,6.0,923.0,12.0,0.0,0,1,1,1
39.0,7.0,23.0,503.0,3.0,1.0,0,1,1,0
19.0,0.0,11.0,661.71,10.0,0.0,1,0,0,1
40.0,4.0,10.0,645.41,30.0,0.0,0,1,2,2
21.0,4.0,6.0,511.82,13.0,1.0,1,0,0,1
24.0,5.0,7.0,131.0,15.0,1.0,0,1,0,1
44.0,4.0,4.0,956.6,17.0,0.0,0,1,2,2
49.0,3.0,13.0,750.3,30.0,0.0,0,1,2,2
57.0,3.0,23.0,404.28,19.0,1.0,0,1,2,2
47.0,2.0,3.0,833.14,5.0,0.0,1,0,2,0
31.0,0.0,26.0,146.0,4.0,1.0,1,0,1,0
32.0,6.0,17.0,940.0,30.0,1.0,0,1,1,2
42.0,0.0,0.0,918.19,16.0,0.0,0,1,2,2
32.0,1.0,29.0,749.0,10.0,1.0,1,0,1,1
46.0,3.0,14.0,541.15,6.0,0.0,0,1,2,0
38.0,3.0,5.0,963.67,14.0,0.0,0,1,1,1
36.0,3.0,8.0,705.96,9.0,1.0,1,0,1,1
41.0,10.0,20.0,618.99,9.0,1.0,0,1,2,1
44.0,0.0,2.0,574.26,11.0,0.0,0,1,2,1
30.0,9.0,21.0,752.68,8.0,1.0,1,0,1,1
50.0,3.0,10.0,171.0,20.0,1.0,0,1,2,2
32.0,0.0,30.0,890.9,23.0,1.0,1,0,1,2
45.0,8.0,16.0,565.0,7.0,1.0,0,1,2,0
65.0,1.0,6.0,396.0,21.0,0.0,1,0,3,2
19.0,3.0,29.0,183.0,30.0,1.0,1,0,0,2
20.0,1.0,0.0,831.33,15.0,0.0,0,1,0,1
59.0,4.0,25.0,794.0,2.0,1.0,1,0,2,0
37.0,2.0,3.0,830.79,7.0,0.0,0,1,1,0
62.0,2.0,10.0,515.0,17.0,1.0,0,1,3,2
46.0,5.0,14.0,948.0,10.0,1.0,0,1,2,1
21.0,3.0,25.0,270.82,5.0,1.0,1,0,0,0
58.0,0.0,5.0,880.0,24.0,0.0,0,1,2,2
24.0,4.0,10.0,853.0,16.0,1.0,1,0,0,2
25.0,2.0,14.0,515.59,9.0,0.0,0,1,1,1
21.0,3.0,17.0,114.0,18.0,1.0,1,0,0,2
57.0,4.0,11.0,926.57,26.0,1.0,1,0,2,2
49.0,1.0,15.0,514.96,4.0,0.0,0,1,2,0
31.0,3.0,6.0,118.42,5.0,1.0,0,1,1,0
22.0,2.0,20.0,577.23,13.0,0.0,1,0,0,1
52.0,3.0,3.0,141.0,30.0,1.0,1,0,2,2
28.0,2.0,13.0,535.19,5.0,0.0,0,1,1,0
55.0,6.0,28.0,392.0,26.0,1.0,0,1,2,2
27.0,1.0,23.0,250.0,10.0,1.0,1,0,1,1
65.0,9.0,24.0,642.0,23.0,1.0,1,0,3,2
35.0,3.0,4.0,615.86,11.0,0.0,1,0,1,1
18.0,1.0,16.0,796.95,19.0,0.0,0,1,0,2
39.0,4.0,7.0,321.0,24.0,1.0,1,0,1,2
33.0,3.0,11.0,531.89,3.0,0.0,0,1,1,0
21.0,1.0,5.0,958.81,15.0,0.0,0,1,0,1
27.0,7.0,28.0,568.0,17.0,1.0,0,1,1,2
63.0,8.0,4.0,895.0,5.0,1.0,0,1,3,0
40.0,7.0,5.0,618.0,22.0,1.0,0,1,2,2
61.0,5.0,19.0,525.6,7.0,1.0,1,0,3,0
47.0,1.0,6.0,636.0,18.0,0.0,1,0,2,2
19.0,3.0,11.0,532.0,16.0,1.0,0,1,0,2
62.0,5.0,25.0,886.0,3.0,1.0,0,1,3,0
44.0,4.0,17.0,514.19,24.0,0.0,0,1,2,2
50.0,4.0,19.0,804.78,6.0,0.0,0,1,2,0
36.0,3.0,10.0,709.14,7.0,0.0,1,0,1,0
63.0,0.0,5.0,140.0,7.0,1.0,1,0,3,0
62.0,2.0,15.0,563.0,12.0,0.0,0,1,3,1
47.0,1.0,13.0,531.0,18.0,1.0,1,0,2,2
29.0,2.0,10.0,749.77,1.0,0.0,1,0,1,0
62.0,10.0,3.0,177.0,21.0,1.0,1,0,3,2
57.0,1.0,4.0,795.0,11.0,1.0,1,0,2,1
25.0,4.0,24.0,665.95,29.0,1.0,0,1,1,2
39.0,0.0,18.0,354.0,25.0,1.0,0,1,1,2
22.0,2.0,10.0,106.0,4.0,1.0,1,0,0,0
40.0,4.0,1.0,825.95,11.0,0.0,1,0,2,1
26.0,1.0,0.0,710.24,2.0,0.0,0,1,1,0
32.0,7.0,15.0,546.0,3.0,0.0,1,0,1,0
44.0,2.0,4.0,941.98,8.0,0.0,1,0,2,1
61.0,0.0,30.0,370.0,26.0,1.0,0,1,3,2
37.0,3.0,11.0,593.0,28.0,1.0,0,1,1,2
30.0,9.0,2.0,223.0,14.0,0.0,0,1,1,1
49.0,10.0,19.0,750.0,14.0,1.0,0,1,2,1
42.0,4.0,10.0,767.66,29.0,0.0,0,1,2,2
63.0,2.0,8.0,662.47,20.0,1.0,1,0,3,2
32.0,2.0,2.0,805.14,12.0,0.0,0,1,1,1
41.0,5.0,24.0,864.0,22.0,0.0,1,0,2,2
